,review_date,review_title,review_text,rating,date_of_stay,trip_type,reviewer_name,contribution,help_full_votes,location_reviewer,Location_rating,Service_rating,Cleanliness_rating,Rooms_rating,Sleep_Quality_rating,Value_rating
574,Feb 2019,It was a good experience,"Most of the facilities will be provided to you in lemon tree. The staff is pretty fast and quick to respond. Breakfast, Lunch and dinner is provided in Citrus cafe which is buffet . There will be a variety of dishes to choose from. Overall the hospitality was good.",4.0,February 2019,business,Traveller,1,,,,,,,,
575,Feb 2019,Sarv Guna sampann,"It is a FANTASTIC property.

Location: Located at hitech city, the technical hub of hyderabad. It’s a busy area, with restaurants and shops like Karachi bakery, Burger King, and IKEA near-by. Cabs and auto rickshaws are easily available. Two lemon tree brand’s properties - premiere, and red fox are next to each other in the same property. Overall, it’s a good location.

Ambience and check-in: The hotel is beautiful with a huge, sophisticated lobby. It has Lemon tree’s signature citrusy smell which is very refreshing. They have little T-shirts, with creative and funny ideas and lines printed on them. These make a very interesting read. The check-in was smooth.

Room: The rooms are spacious, clean, and well lit. They have all modern facilities you would expect and need - nice clean beds, hygienic washrooms, toiletries, iron and iron board, TV, kettle, mini refrigerator, etc.

Food: The food is very, very delicious. Their buffet meals are served at the Citrus cafe. The buffet spread is good, and the staff is attentive. They have 2 other restaurants - Republic of Noodles and Kebabs theatre. Republic of noodles is a pan-Asian restaurant, and their food is very authentic and tasty. They have a lot of variety too, and the ambience is very inviting.
Kebabs theatre is an Indian food restaurant, decorated in Bollywood theme. It looks very creative. The special quality about this restaurant is that it is handled completely by specially abled people. The food is very sumptuous.

Staff: this is the BEST quality of Lemon tree brands. Their staff is warm, with an eye for detail. They go out of their way to make sure every guest has a pleasant stay.

Mr. Corbett - the General Manager is a gem of a person. He is such a charming gentleman, who is very keen and sincere in his work. In spite of being super busy (he is the regional head of all lemon tree properties in Hyderabad), he found the time to greet and interact with guests. We got the opportunity to interact with him, and he is so knowledgable, and so humble. It was a real pleasure meeting him. There was a particular personal incident, in which he even made the effort to call us personally and leave a voice message to help us out. Truly, an asset to lemon tree.

Mr. Sanjiv - the Housekeeping executive, is such a wonderful person. He takes feedback very positively. This fine gentleman too helped us in a very great way during our stay at Hyderabad, even after we had checked out of the hotel. He is very sweet and goes out of his way to make sure the guests are comfortable. Please meet him while you’re there. He is a fantastic person. We informed him we were going to Tirupati later on. And he made sure our stay there was comfortable as well.

Mr. Anjanee - the F&B manager is such an enthusiastic food lover, he makes sure the guests enjoy the food in his restaurants. He attends to guests, discusses food and flavour with them, and acts as the perfect host to the guests in his restaurants. Because of him, we got to taste one of the best thai green curry at republic of noodles. and he is very knowledgeable about international cuisines as well.

Also, a special mention for Chefs from Republic of Noodles and kebabs theatre. Thank you so much for amazing food.

We’ve made friends for life. Thanks Lemon tree Hitec City.",5.0,January 2019,,sooraj_targetacademy,24,119,"Lucknow, India",,,,,,
576,Feb 2019,"Lemon tree , Hitech city ,Hyderabad","We stayed in lemonntree Hotel located in hitech city hyd,hotel is very good
staff service & behaviour is gud
room service is very gud guess his name is ranga...would certainly recommend this hotel for a happy stay ..",5.0,February 2019,couple,prem kumar,1,,"Chennai District, India",,,,,,
577,Feb 2019,Best service by J janardhan from house keeping,This is my 1st vist at lemon tree hotel in Hyderabad and my stay in very comfortable with Janardhan from house keeping he has very good and polite guy I never seen these like him he is very crazy and very smart worker definatly I will back to Lemon tree hotel thank you lemon tree such a good services,5.0,February 2019,business,Lav,1,,,,,,,,
578,Feb 2019,Great people,"Today, Mr. S. Rajasekhar was cleaning my room, and asked how my stay was. He remembered that I needed extra facecloths and brought them with him. He also took 10 minutes from his busy day to show me the great swimming pool and exercise facilities here at Lemon Tree, which I did not know about. I feel that the staff here really cares about me, and this is very valuable.",5.0,February 2019,business,Nate,1,1,,,5.0,5.0,,,5.0
579,Feb 2019,Freindly staff,My stay was here for one night and I could not say much. But room stay was more comfortable.. Spacious and welln cleaned room. Food was good and excellent breakfast. I would recommend for here. Staff are helping nature,4.0,December 2018,business,Praveen N A,5,1,"Kerala, India",,,,,,
580,Feb 2019,Great Hotel for longer stay,"The purpose of my stay was to work at my company for 2 weeks at Hitec City. This hotel is great for such a longer stay as they offer well priced packages. The room was a standard one but spacious. The service was in all cases extraordinary. Breakfast and lunch are american-indian style with a variety of choices. Especially the deserts are delicious. On saturday, on half of stay I asked for a car and chaffeur for some sightseeing and they offered me that for a very good price. The chaffeur was really great and took me to all great places in Hyderabad. Don´t try as an european to drive yourself through the city, you will fail. Khalil was very experienced driver and a great guy. I enjoyed the day. At any case, I would recommend this hotel at all.",5.0,January 2019,,Cookiemovies,56,8,"Langen, Deutschland",,,,,,
581,Feb 2019,Well situated business hotel.,"Had stayed on multiple occassion in 2016 & 17. Good service, clean rooms & good food.

The hotel is centrally located to various offices hence convienent. Had tried the Asian resturant and it was good too.",5.0,March 2018,business,ramanshenoy,6,1,"Bengaluru, India",,,,,,
582,Jan 2019,The Lemon Tree Premier folks @ work,"Great place to stay put and for business! The staff is courteous, always going out of their way to help and support. Extremely humble and customer oriented. My experience was at the Banquets for business reasons! Thank you.",5.0,January 2019,business,Paayal V,4,,India,,5.0,5.0,,,5.0
583,Jan 2019,"Nice lobby, but otherwise quite an average hotel","When you arrive you are greeted with a large and impressive lobby which makes you think the hotel may be something special, despite its lower price point.

But it does not live up to those expectations. The rooms are acceptable but basic, and the one I stayed in had poor noise insulation from the main road outside, so I was glad to have earplugs with me.

The facilities are good, but nothing particularly special, and sadly I found that the room service food was quite poor.

What bothered me the most was the fairly chaotic nature of the hotel. I had pre-booked airport transfers, and while the one that took me TO the hotel was fine, it took several phone calls, a visit to the desk and a lot of confusion to confirm that the return one was in place.

However, most of the staff were friendly and attentive, and overall I thought this place was fine. It just wouldn’t be my first choice if I were returning here on business.",3.0,January 2019,business,philreid,21,53,"Glasgow, United Kingdom",,,,,,
584,Jan 2019,Wonderful property,Mr Corbett and his team will ensure a most comfortable stay for all guests. The hotel is right next to Ikea and only 45 minutes from the airport. Chef Sambhav was constantly in touch to make sure that the food was upto our expectations. Milin and his front desk team were extremely helpful. If you are coming to Hyderabad this should be your first choice.,5.0,January 2019,couple,VIKRAM VIJH,96,18,"Jalandhar, India",,,,,,
585,Jan 2019,"Nice Hotel, wonderful staff and convenient location added up to a fantastic business trip","This was my second stay at Lemon Tree Premier, HITEC City in Hyderabad. The staff is fantastic. They are helpful, friendly and gracious; always willing to go above and beyond. I especially appreciate Sagar & Teja in the Food & Beverage department. They were wonderful bar tenders as well as friendly breakfast servers. They made are trip really enjoyable.

The only down side was I was in a room that had not been renovated the bathtub was old and not in good shape. if was functional however and the only reason I didn't give them 5 stars.",4.0,January 2019,,Matt S,14,,"Alpharetta, Georgia",,,,,,
586,Jan 2019,Warm hospitality,Rooms are good. Staff are helpful and well behaved. Janardhan gave good hospitality to me. Buffet menu is also extensive and delicious. Fitness centre needs improvement. Although trainer is helpful. Overall pleasant stay in the hotel.,5.0,January 2019,business,Neel,1,,,,,,,,
587,Jan 2019,Impresive service on par with best in class,"First of all the location perfectly suited for me as I was looking for accommodation near Hitec city.
Rooms are clean and spacious.
Can't forget to mention that Support from Staff is very impressive, it stands out. Especially from the Citrus coffee shop.Special thanks to Anjani for his quick response, understanding the needs and making it a pleasant stay by providing guidance and recommendations.

Nice food served at Citrus.",5.0,January 2019,friends,PremPP89,1,,,,,,,,
588,Jan 2019,Excellent,"Service is good and rooms very clean, house keeping is excellent ranga. Must visit. And the food here is good.There is swimming pool and ambience around the hotel is very srene. Must visit hotel if you are planning any trip in hyderabad.",5.0,January 2019,family,Rajinikanth,1,,,,,,,,
589,Jan 2019,5 STARS!!!,"My husband & I from U.. were treated like a King & Queen.
Mr Gaurav Kakkar, Executive Assitant Manager has a team of professionals that deliver consistant 5 Star serivce.
A staff to mention is Haribaku (not sure of spelling)!. He does not speak, only signs and says more with his service than he could ever say with his mouth.
Also note: English speaking drivers make traving in Hotel car user friendly.
Be sure to eat on site: The Citrus is a culinary art dream.
The Manager of this restaruant is AMAZING!
Ask for Anjanec Singh Verdo , Negendar, or Smvidya
(names probaly spelled wrong, but service was always right!",5.0,January 2019,couple,1ladyt,1,,,,,,,,
590,Jan 2019,The Place of Excellence,"After almost 3 days of riding planes with long layovers from U.S to India, no sleep and irritable, it is so refreshing to lodge at Lemon Tree Premier Hitech.
This is the 3rd year I ve stayed.
The beauty & cleaniless of the Hotel is only eclipsed by the professionalism of staff working with Front Desk Manager Azhar Ullah. My wife & I travel
worlwide and this experience tops even Switerland, Paris and many others.
English speaking staff are always avaialable!!
Front desk are amazing: Prranjal, Rishi, Naveen & even trainee Raju. I know these names becuase I ask after each one has been so helpful. Our driver Khalel was amazing:
The food is 5 star: I will write another review just about the Cittrus Restaraunt on site!!!
I almost chose another Lemon Tree becuase the other Front Desk Manager Barkha Pandy who is more than amazing went to another location. However, this location with Syed has continued the excellence!!!",5.0,January 2019,business,Eddie P,15,3,"Westerville, United States",,,,,,
591,Jan 2019,One of the finest places to stay,"The room was very clean, had an easy check-in & check-out. Yummy in room dining food, all amenities were great. Staff were very courteous. I wish I had more time to stay there. Also plus point, it's a 10 minute walking distance to Ikea.",5.0,January 2019,business,Brin,3,,,,5.0,5.0,,,5.0
592,Jan 2019,Lovely hotel to stay for business travel,"This is upgraded version of the other Lemon tree hotels you'll see. And its Premier in all ways - from rooms, to restaurants its all good.
Location is great for all the business travelers of companies around Hi-Tech or Gachibowli.
I love the buffet at Lemon tree - its wide spread of dishes suits all cuisines. They have a nice membership program to pool up points for the amount you spend.",5.0,July 2018,business,Daniel T,1335,219,"Hyderabad, India",5.0,5.0,5.0,,,
593,Jan 2019,Business Hotel,"I stayed in Lemon Tree Premier Hitec City Hyderabad in mid January. It was my first time to stay here as we would normally book in a different accommodation. Some of the things I liked here were:

1. Clean rooms. They have daily housekeeping and would provide the basic needs. I once saw them when I went back mid-day and they were all smiling and accommodating. Mr. Rajasekhar is mute but he was polite and friendly and made sure the room was clean before I left.

2. Republic of Noodles. This restaurant is amazing! They have good food at reasonable prices. Really friendly staff and always smiling. I look forward to dining here again when I am back.

3. Citrus Cafe. Breakfast will be served here everyday and it had enough selection for international guests. They keep the local Indian breakfast but provide options for others. The lady from the cafe reception would always be helpful and smiling.

4. Sustainability initiatives. I like their concept of using recycled water in the toilet flush. It doesn't smell. And I know that I am not using fresh water to flush. Toiletries are also provided on an as needed basis. Which is really good.

I would definitely consider staying here again in the future if I get the opportunity to travel back to Hyderabad. Not to mention its proximity to the office where I work. And they give corporate discounts.",4.0,January 2019,business,Rina P,4,,"Bulacan, Philippines",,,,,,
594,Jan 2019,Great Service by CK Reddy,"I happened to spend 2 hours at the hotel today for a business meeting and had a great experience in Lobby Lounge. My special thanks to F&B Service agent CK Reddy. He was outstanding in his service and served with remarkable precision and clarity. God Bless him. I learnt a lot by observing him today.

Great Experience !",5.0,January 2019,business,arunabh m,276,93,"Hyderabad, India",,5.0,,,,5.0
595,Jan 2019,Best in city,We have been there last week with office colleagues. Location is good. Easy to reach. Best in city star hotel properties. Very neat and clean. Support is really superb. Especially from Anjani singh who made our meet memorable. Food preparation and presentation is really good. Of course taste as well. Thanks to the entire restaurant team.,5.0,January 2019,friends,panii2015,94,11,"Hyderabad, India",,,,,,
596,Jan 2019,@ Citrus,"Very good hotel at nice location, very close to Hitech city.
Rooms are clean and spacious.
Support from Staff is very impressive. Especially from the Citrus coffee shop.Thanks to Anjani for his attention, suggestions and recommendations.

Nice food served at Citrus.",5.0,January 2019,friends,KV Rao,1,1,,5.0,5.0,,,,
597,Jan 2019,Long stay at Lemon Tree Premier,I had a 19 days stay at the Lemon Tree Premier and found it to be a good property. The staff is really co-operative and helpful. They are ready to help you with any need at any hour of the day. Housekeeping staff including Ranga is really proficient and goes the extra mile to help you with anything if required. All in all it was a happy stay.,5.0,January 2019,business,Harshit M,1,,,,5.0,5.0,,,4.0
598,Jan 2019,Stay was very good and ambience is very hospitable,I would like to personally thank Mr. Rajasekhar(Housekeeping) . He kept my room very neat and clean and very hospitable. I would also like all the staff from Citrus Cafe and Reception who made my stay comfortable.,5.0,January 2019,business,Charanjit Singh,1,,,,,,,,
599,Jan 2019,Short Stay at Lemon Tree,Checked into the property for a short 2 day business trip. Location is good with good amenities. Breakfast spread is lavish and variety of options. In room dining staff (Bikshaya Yadav) are very hospitable and pleasant. Overall great option in Hitech city for short stay!,5.0,January 2019,business,rahulprashar78,6,2,"Gurugram (Gurgaon), India",,,,,,
600,Jan 2019,Overall stay was nice. :)),"It was a good stay for 12 days. Great service and great hospitality by Mr. Rajasekhar. As i used to go to office, he made sure to keep my room neat and clean before I come in the evening. The ambience is also nice, the food is good especially the breakfast menu. Lots of options.",5.0,January 2019,business,Aniket Shinde,1,,,,,,,,
601,Jan 2019,Specialist @ Work,It's a great property for the location and the people you interact with..... Its always the people who make a difference and that's visible in this property.. For a first timer at lemon Tree I absolutely enjoyed the hospitality there.. From Mr Rahul at the front desk setting the tone of the culture to S Rajasekhar in housekeeping making sure the tea you like is stacked more than other options. CK reddy at the tea house will make sure your guests are welcomed too.... Location is key as its walkable to the new giant in India IKEA.. Worth a visit.... The staff makes you valued in every way... Couldnt meet the Gm Mr Corbett but am sure he's got used to such reviews and hence a note of thanks to him and the team.. Cheers karan,5.0,December 2018,solo,Karan Sahoo,5,,"New Delhi, India",5.0,5.0,,,5.0,
602,Jan 2019,Dr vinydepparma,"Good service in housekeeping boy Mr,Ranga in my room service very nit Hyderabad in lemon tree hotel very nice and nitely politely and food is very good,,,,two days in my room very nice,,,, thanks for Ranga,,,,,",5.0,January 2019,business,Binoy,1,,,,,,,,
603,Jan 2019,clining room by janardhan,the food is very gud..bd the cleaning part is very good ...so imppresive...nd i want 2 visit here again ....as soon as possible ...nd the staff around is so helpful nd nice bhvd.....everythn is so impprseve..the services tht provides by the hotl is awesome everythng shuld be on time thts show the perfction of a quality place ...everythn seems 2 be nice ...nd m glad 2 say that ....😊😊,5.0,January 2019,family,abhi,1,,,,,,,,
604,Jan 2019,House keeping,"The staff is very friendly
Mr.Ranga was absolutely amazing with his services. He was so polite and was quick with his services. Highly appreciable services. Good food. Mr.Phaninder too was good with the services.",5.0,January 2019,business,anshika,1,,,,,,,,
605,Jan 2019,Excellent service,I asked for room cleanling at a very odd time but the service provided by Naveen and Hari was awesome. They cleared all the mess within a short time period. Glad to have visited here. Would love to be back.,5.0,January 2019,solo,msantani,1,1,,,,,,,
606,Jan 2019,the experience was so good ..,his name was AKRAM he was so good with us the room service crew in lemon tree premier hotel Hyderabad. it happened to stay two days. his approach with the guests was so nice. I would like to visit the hotel again.,5.0,January 2019,family,CHANDRA PAL S,1,,,,5.0,4.0,,,5.0
607,Jan 2019,@INDIANitish,All is well! Room was very neat and tidy. Food was great. The best part is the initiative in which lemon tree supports deaf and dumb job exposure. I personally thinks its a good thing to give them a job to earn money and they are doing their job very fantastic and they are very keen to ask that guests wants something so theybcan arrange that immadietly. Enjoyed stay with lemon tree. GREAT JOB!!!,5.0,January 2019,business,Nitish,1,,,,,,,,
608,Jan 2019,Accomodation,"Excellent service by the hotel plus the foods were too good. Staffs of the hotel are very co-operative. Room service, Citrus Cafe staffs are very friendly and supportive. Thank you for the satisfying stay. Keep serving good..!!🙂🙂",5.0,December 2018,business,BHAWNA TALEJA,1,,,,,,,,
609,Jan 2019,Business Stay,The stay at lemon tree is awsome. Loved the service. Food was also good of citrus and kitchen kebab. The housekeeping people especially Ranga over here are very humble and helpful. Have stayed here for 2 weeks till now and the experience was great.,5.0,January 2019,solo,Thanveer,1,,,,,,,,
610,Jan 2019,Perfect service,"A perfect place and service provided by staff.
Housekeeping services are very nice. And well behaved staff with proper timing services.
I'll recommend Mr.Ranga and other fello staff members Mr. Naveen as good fellows.",5.0,January 2019,business,Manu Sharma,1,,,,,,,,
611,Jan 2019,Excellent service by Rajshekhar,Clean room like a home.everything was settled.stay was good in Lemon tree. Got newspaper on time. Food was awsom in lemon tree. Thanks Rajshekhar for your tremendous job...recommend to all to sath in lemon tree,5.0,January 2019,business,Mani,4,,"Lucknow, India",,,,,,
612,Jan 2019,Chaitanya,"I have spent two weeks at the hotel, there are a couple of things I liked. One is the water saving initiative by using recycled water and also the house keeping staff was very good especially Ranga who patiently answered all the questions.",5.0,January 2019,business,Chaitanya,1,,,,,,,,
613,Jan 2019,Decent hotel with very helpful staff,"We recently stayed there for 2 nights. The room size is quite spacious and very comfortable. The staff are very polite and helpful and always looking to serve you the best. Hotel do support hiring of differently abled people with their skill set matched and I really liked it.
Had breakfast and lunch and quality of food was very good.

Overall good experience",4.0,January 2019,family,Paikshit,78,54,"Hyderabad, India",,,,,,
614,Jan 2019,Rajak shaik,"Good service,house keeping also very well...Mr ranga house keeping service will very good.

I want to stay next time also ... room is very clean and super.

Complementary break fast also very good and tasty...",5.0,January 2019,business,Rajak,1,,,,,,,,
615,Jan 2019,Excellent service,"Very good service provided by staff Naveen & Sai,very much polite and took care of all the amenities we required.Excellent service “kudos to both of them”.My stay at the hotel was very comfortable.Staffs are very efficient.Thankyou!",5.0,January 2019,business,Wisanlule,1,,,,,,,,
616,Jan 2019,Aman,"Its an oussoume experience it fell bleaed
Ranga the house keeping one Has a great nature nd helped me a lot with the towel nd all he is very good in the work ethics and app Nd i wosh like to come in this hotel again and again",5.0,January 2019,couple,Aman,1,,,,,,,,
617,Dec 2018,Good service,"Staff is very polite and always punctual
Naveen helped us a lot during the stay , the overall environment of the place is very welcoming and the ambiance is nice. And warm .
It was a pleasant stay ...",5.0,December 2018,friends,Jhanvi Yadav,1,,,,,,,,
618,Dec 2018,Mr Raja,"Stayed at the hotel for 3 days.Stay was comfortable.Staff were caring.Mr Ranga from housekeeping would always strive hard to see that our stay was comfortable.
Hotels location was good.All amenities near by.",5.0,December 2018,couple,Raj99,1,,,,,,,,
619,Dec 2018,Impressive Social Cause,"Spent 2 nights here and while I found the room wanting in a few aspects, I thoroughly liked a social.cause theyve adopted. And thus the 5 bubble. Engaging people with hearing and speaking challenges and encouraging guests to engage with them is an amazing concept. Hats off Lemon Tree Premium, Hyderabad.
The room by itself was nice though found the lack of a thin curtain quite a disadvantage with Hyderabads glaring sun. Either the room was pitch dark or had the extra bright sunlight.
A curtain separating the lounge area in the suite would help when you have room guests.
This apart the stay was excellent. The food in the Thai restaurant was really amazing. Shall review that seperately",5.0,December 2018,business,Ram M,237,64,Gambia,,,,,,
620,Dec 2018,Had a get time,"Pretty good services.....had this guy from the housecleaning Ranga, was very professional and did a great job. Apart rooms were comfortable. Was located right within the hi-tech city. Location was very convenient, if you look fwd for any business trip within the hite5 city.",5.0,December 2018,business,Sonil M,3,,"Jaipur, India",,,,,,
621,Dec 2018,Very good,"Place was clean.
Staff was great.
Rajshekhar was nice. He helped us with everything we had asked for and was quite fast in getting it.
Worth the money.
Was upgraded to Executive suite.
Family had a great time.",5.0,December 2018,family,Aarti Mhatre,1,,,,,,,,
622,Dec 2018,Awesome Service!!!,"One word: Awesome!!!

I have been using Lemon Tree Premier for quite some time now and I always like its professional service, this time I stayed with family and they loved the ambiance and the service provided. The staff is also friendly and understands and fulfills the customer's requirement efficiently. The housekeeping guy at my last stay (named Ranga) helped resolve my queries couple of times with ease and had a friendly nature, we liked the stay overall.",5.0,December 2018,family,Hashim Jamal,1,,"New Delhi, India",,5.0,5.0,,5.0,
623,Dec 2018,Excellent roam service,Aur roam servious is very active I am really happy with the way handle us and within no time he will be present with us especially Naveen help us in many way he is very polite you can request some thing and he is ready within no time,5.0,December 2018,business,Gourav,1,,,,,,,,
624,Dec 2018,Mr. Umamhesh,Very good for family and business purposes. Ambience of the hotel is looking good and nice staff. In room dining is maintiaining very well. Tate of the food is good but little expense. House keeping by ranga is good and nice guy,5.0,December 2018,family,Umamahesh,1,,,,,,,,
625,Dec 2018,Shubham Bishnoi,Service was great. Highly recommended. Housekeeping service by Ranga was awesome. He is a very dedicated employee. Will suggest other folks to stay in Lemon tree every time you visit Hyderabad. Food is also very tasty.,5.0,December 2018,business,Shubham,1,,,,,,,,
626,Dec 2018,Awesome stay experience!!!,"I stayed with my family for vacation during Christmas time. Everything was awesome, specifically housekeeping people are too good. I would like to mention S Rajasekhar who attended to most of our housekeeping requests. I will definitely come back to this place again.",4.0,December 2018,family,Sunil Reddy,1,,,,,,,,
627,Dec 2018,Best ambiance,"I would definitely suggest this property who wants to enjoy with friends.. Especially front office team..they were really well natured, helped us in the ways we needed them to..
Will definitely visit again.. keep it up!!!",5.0,November 2018,friends,Zoya,2,,,,,,,,
628,Dec 2018,Ms.soma saha,"One of the best masala tea I had in Hyderabad so far. Fantastic staff !front desk,restaurant are all top notch....Mr. Millind extremely friendly,courteous and professional. The staff looks for ways to be of assistance and provide a unique, personal touch. Wonderful property!!!!",5.0,December 2018,friends,Soma saha,3,,"Hyderabad District, India",,,,,,
629,Dec 2018,Not happy,"I hv stayed at this hotel earlier as well but this time I was been offered a twin bed room, the room size was quite small as compared to the earlier ones despite they being of the same category. The bathroom was in a pathetic condition... was not even cleaned properly. The bathtub had hair inside that were stuck on the bottom and the sides of the tub. The towels were smelly as well. Not sure if the room was even cleaned before I checked in.. not happy with my recent stay.",2.0,December 2018,solo,varshikav,10,,Mumbai,,,,,,
630,Dec 2018,Lacks customer service very badly,"Currently staying in Lemon Tree high tech city. Having a terrible experience. Customer service is very bad infact you have to ask 3 to 4 times to get even a glass of water. Citrus cafe front desk lady is not at all customer friendly. However housekeeping guys were good and they did their job promptly .
Don't expect hot water beyond 8 am....
Overall will not return to lemon tree again.",1.0,December 2018,family,Ramaa Raj,2,,,,,,,,
631,Dec 2018,Gymnasium,"The hotel has a very well equipped Gym on the 9th floor. Machines are in good condition and is spacious. Most importantly the Gym trainer - Deepak Chetry is very knowledgeable, cheerful and friendly person. You just need to tell him what kind of workout you are looking for and the time you have available. He will guide you on the perfect schedule for the day and also advise on the duration of the exercises.

I have been staying here for more that a year. I usually do weights and floor exercise and have found him very cooperative and eager to help in getting a good exercise done. Perfect!!",4.0,December 2018,business,Ashish,1,,,,5.0,,,5.0,5.0
632,Dec 2018,Lemon Tree Hi Tech City,Great service and intitiative of using disabled to perform key functions. Ranga & Gopi are great at what they are doing because they are always smiling and cheerful to whoever they meet in the property,5.0,December 2018,friends,Yukti Dhingra,1,,,,,,,,
633,Dec 2018,Great place to stay,Really enjoyed the stay. Very good staff. Anytime I can stay here. Great thing about this place is they give employments to handicap people. Really very touching. I never see this in india. Good job guys.,5.0,December 2018,couple,Shreyas P,14,9,"munster, United States",,,,,,
634,Dec 2018,lemon tree premier,"Good service. Excellent hotel. Staff is very good. Ranga very nice service and nice guy.
House keeping is nice. Food served is also good in the hotel. Also nice pool at top floor.
It is kept very nicely.",5.0,December 2018,business,Karan,1,,,,,,,,
635,Dec 2018,Chen Siyan,"excellent hotel，i live here over one week, the house keeping is very very good, nice guy , Ranga ,very well, i will choose this hotel again next time come to this city. maintines is also very good. ranga is very good in
cooperation.thanks for ranga's service",5.0,December 2018,business,chen.siyan,1,,,,,,,,
636,Dec 2018,Very bad experience,Lemon tree is very big property but the staff are really pathetic and horrible they stand on their words and they don't do operations properly. I nearly waited 30 mins in front desk for my reservation its really horrible. I will choose another property from next time,1.0,November 2018,friends,Jackson123,1,,,,,,,,
637,Dec 2018,Lemon tree hoteles,Room service is very nice. Impeccable service. Give the man a raise.excelent service helpful and trustworthy.hehas consistently..I definitely recommend his services for the room service and I have visited many hotels in Hyderabad .... good service Ranga,5.0,December 2018,business,Jonathan,1,,,,,,,,
638,Dec 2018,Rahul,"Very nice hotel. kind staff.
Ranga did nice room service.nice hotel in room service excellent amazing... and most of room to good im coming next tim allso..i got a first class service in this hotel lemon tree hotel very good.most housekeeping stop very good thanks for ranga.",5.0,December 2018,business,Rahul,1,,,,,,,,
639,Dec 2018,"Good service, quite warm and helpful","We stayed here for 3 days and must say quite satisfied with the say. I woul like to specifically comments t about the Akram the housekeeping person, I think he made the room look new everyday. The food here was good and very courteous staff.",5.0,December 2018,business,ishtiyaquek2016,4,,,,,,,,
640,Dec 2018,nice gently staffs,"Nicest hotel in India! there are many kindly staffs around there!!
it was a nice trip,thank you so much!
I used Lemon Tree Premiere for business(International film festival).
festival also recommend Lemon Tree!
thanks Lemon Tree, and AKRAM did nice room service! thank you nice man!",5.0,December 2018,business,YJapan,1,,,,5.0,,,5.0,5.0
641,Dec 2018,"Lovely property, excellent service, great food","We stayed at this property, located in HiTech City, for 5 days as part of a marriage celebration and this property is really good. Very cooperative, helpful staff, beautiful reception area, nice rooms, great food etc etc. Some of the functions were held here and we had a great time.

The property employs staff who are differently abled and its great to see them working with same commitment and earning their livelihood with dignity. This is a sure shot slap on those abled persons who beg on the road.

Salute to the management and staff for creating a quality Indian Hotel Chain and giving us international standard.",5.0,December 2018,family,Rajesh Sharma,1112,96,"Mumbai, India",,,,,,
642,Dec 2018,comfortable stay at lemon tree premier hitec city,Enjoyed my stay at lemon tree hitech city.. Housekeeping staff Rajasekhar and Esha were at our service at all time and made sure that they exceeded my expectation. I really enjoyed the stay at lemon tree.,4.0,November 2018,business,mohamed shafi,1,,,,4.0,,,4.0,
643,Dec 2018,Nice stay in Hyderabad,"Comfortable rooms well mantained, with perfect housekeeping from Rajasekhar. Fitness Center 24x7, swimming pool and a good breakfast restaurant.
For launch and dinner very good food, but expensive. Non-smoking hotel.",4.0,December 2018,business,AdrenalinZone,7,2,"Bari, Italy",,5.0,,,5.0,5.0
644,Dec 2018,Wonderful stay at Lemon Tree,"The best advantage of Red Fox hotel is the location. It is closer to Raheja Mindspace, Cyber Towers, Cyber Gateway, Phoenix and Deloitte offices.
There are numerous restaurants and bars around the property. Pick and Drop Facility from Airport can be requested.
Hotel staff is courteous and helpful!
There is a lot of noise due to construction work! You can also easily get disturbed by fellow guests as you can hear the noise from the adjacent rooms.",4.0,August 2018,solo,Rishabh,5,,"Mumbai, India",,4.0,5.0,,3.0,
645,Dec 2018,Good service by housekeeping,"Thanks Ranga and team for excellent housekeeping were very prompt in their response and also polite
Had a good stay nice pool great breakfast and room service very close to the IT companies short walk away",5.0,December 2018,business,Neel I,4,1,"Bengaluru, India",,,,,,
646,Dec 2018,Matthew Totaro,The best in this hotel is ranga Room service is soo good and provider tha all suppliate houkeeping very nice of my room and good groming ... super guy... meet him ... Santosh Also good person mor the off dayes,5.0,December 2018,business,Matthew K,7,1,,,,,,,
647,Dec 2018,Great experience,"I booked this hotel as it was very closeby to my meeting place. The location is very convininet for people visiting for work in and around hitech city. The rooms are spacious and I was delighted that I could have a hard pillow on request. Only a few hotels have this. Naveen, the house keeping person, mightly impressed me with his service. He was prompt to fulfill my requests. I was out for work and when I arrived, I find a note on my desk that my laundry is placed in the wardrobe. I was very happy with this attention to detail and care shown my Naveen. I would love to stay again at this property.",5.0,December 2018,business,Nitten M,4,,,,5.0,,5.0,,5.0
648,Dec 2018,Kishorereddy,Ranga excellent service in prompt response!!! Room is excellent service. Great ambience ! Good hotel. Want to visit again. And also been main tenant the room well. I definitely recommend his service for the room service,5.0,December 2018,business,KISHOREREDDY,1,,"Singapore, Singapore",,,,,,
649,Dec 2018,Bad management and service,"We travelled to Hyderabad for work and were supposed to checkin late in the evening as we were working whole day. We had provided prior communication via email to the hotel which was acknowledged by the hotel reservation team, but when we reached hotel in the night we were told rooms are not ready. We were asked to share a room while we had 3 separate rooms which we denied. We were then asked to wait for 10 minutes even after which the rooms were not there. We had to wait 2 hours and eventually got our rooms 1.30 AM and all this time we were waiting in the mosquito infested lobby.",1.0,December 2018,business,Freedom609530,3,,,3.0,1.0,,2.0,,
